std::any
std::apply
std::clamp
std::lcd
std::gcd
std::filesystem
std::invoke
std::is_invocable
std::invoke_result
std::set
std::optional
std::sample
std::search
std::default_searcher
std::default_searcher
std::boyer_moore_searcher
std::boyer_moore_horspool_searcher
std::from_chars_result
std::from_chars
std::to_chars
std::chars_format
std::basic_string_view
std::string_view
std::wstring_view
std::variant
std::in_place
std::in_place_type
std::in_place_index
std::in_place_t
std::in_place_type_t
std::in_place_index_t
std::make_from_tuple
std::as_const
std::launder
std::sequenced_policy
std::parallel_policy
std::parallel_unsequenced_policy
std::is_execution_policy
std::sew
std::par
std::par_unseq
std::size
std::empty
std::data
std::reduce
std::transform_reduce
std::inclusive_scan
std::exclusive_scan
std::transform_inclusive_scan
std::transform_exclusive_scan
std::shared_mutex
std::scoped_lock
std::filesystem::path
std::filesystem::filesystem_error
std::filesystem::directory_entry
std::filesystem::directory_iterator
std::filesystem::recursive_directory_iterator
std::filesystem::file_status
std::filesystem::space_info
std::filesystem::file_type
std::filesystem::file_time_type
std::filesystem::perms
std::filesystem::perm_options
std::filesystem::copy_options
std::filesystem::directory_options
std::filesystem::file_time_type
std::filesystem::absolute
std::filesystem::canonical
std::filesystem::weakly_canonical
std::filesystem::relative
std::filesystem::proximate
std::filesystem::copy
std::filesystem::copy_file
std::filesystem::copy_symlink
std::filesystem::create_directory
std::filesystem::create_directories
std::filesystem::create_hard_link
std::filesystem::create_symlink
std::filesystem::create_directory_symlink
std::filesystem::current_path
std::filesystem::exists
std::filesystem::equivalent
std::filesystem::file_size
std::filesystem::hard_link_count
std::filesystem::last_write_time
std::filesystem::permissions
std::filesystem::read_symlink
std::filesystem::remove
std::filesystem::remove_all
std::filesystem::rename
std::filesystem::resize_file
std::filesystem::space
std::filesystem::status
std::filesystem::symlink_status
std::filesystem::temp_directory_path
std::filesystem::is_block_file
std::filesystem::is_character_file
std::filesystem::is_directory
std::filesystem::is_empty
std::filesystem::is_fifo
std::filesystem::is_other
std::filesystem::is_regular_file
std::filesystem::is_socket
std::filesystem::is_symlink
std::filesystem::status_known
std::assoc_laguerre
std::assoc_laguerref
std::assoc_laguerrel
std::assoc_legendre
std::assoc_legendref
std::assoc_legendrel
std::beta
std::betaf
std::betal
std::comp_ellint_1
std::comp_ellint_1f
std::comp_ellint_1l
std::comp_ellint_2
std::comp_ellint_2f
std::comp_ellint_2l
std::comp_ellint_3
std::comp_ellint_3f
std::comp_ellint_3l
std::cyl_bessel_i
std::cyl_bessel_if
std::cyl_bessel_il
std::cyl_bessel_j
std::cyl_bessel_jf
std::cyl_bessel_jl
std::cyl_bessel_k
std::cyl_bessel_kf
std::cyl_bessel_kl
std::cyl_neumann
std::cyl_neumannf
std::cyl_neumannl
std::ellint_1
std::ellint_1f
std::ellint_1l
std::ellint_2
std::ellint_2f
std::ellint_2l
std::ellint_3
std::ellint_3f
std::ellint_3l
std::expint
std::expintf
std::expintl
std::hermite
std::hermitef
std::hermitel
std::legendre
std::legendref
std::legendrel
std::laguerre
std::laguerref
std::laguerrel
std::riemann_zeta
std::riemann_zetaf
std::riemann_zetal
std::sph_bessel
std::sph_besself
std::sph_bessell
std::sph_legendre
std::sph_legendref
std::sph_legendrel
std::sph_neumann
std::sph_neumannf
std::sph_neumannl
std::has_unique_object_representations
std::is_aggregate
std::is_swappable_with
std::is_swappable
std::is_nothrow_swappable_with
std::is_nothrow_swappable
std::is_invocable
std::is_invocable_r
std::is_nothrow_invocable
std::is_nothrow_invocable_r
std::invoke_result
std::void_t
std::conjunction
std::disjunction
std::negation
std::bool_constant
std::pmr::string
std::pmr::wstring
std::pmr::u16string 
std::pmr::u32string
std::auto_ptr
std::polymorphic_allocator
std::memory_resource
std::new_delete_resource
std::null_memory_resource
std::get_default_resource
std::set_default_resource
std::pool_options
std::synchronized_pool_resource
std::unsynchronized_pool_resource
std::monotonic_buffer_resource
std::uninitialized_move
std::uninitialized_move_n
std::uninitialized_default_construct
std::uninitialized_default_construct_n
std::uninitialized_value_construct
std::uninitialized_value_construct_n
std::destroy_at
std::destroy
std::destroy_n
std::aligned_alloc
std::uncaught_exception
std::uncaught_exceptions
std::time_spec_get
std::not_fn
std::hardware_destructive_interference_size
std::hardware_constructive_interference_size
std::monostate
std::make_any
