std::make_unique
std::chrono_literals
std::literals
std::make_index_sequence
std::integer_sequence
std::exchange
std::reverse_iterator
std::cbegin
std::cend
std::rbegin
std::rend
std::crend
std::shared_timed_mutex
std::shared_lock
std::swap
std::is_null_pointer
std::bit_not
std::shared_timed_mutex
